step,crossentropy,val crossentropy
1,0.018587888571140177,0.10020971132649316
2,0.012883162670800474,0.08652363551987542
3,0.011557445673445185,0.08299382196532355
4,0.010957409414439515,0.0810415032837126
5,0.010616767315232024,0.07993529405858782
6,0.010409845786840738,0.07975081023242739
7,0.010364098647554446,0.07968136833773719
8,0.010345964610171156,0.07961065156592263
9,0.01032028103969535,0.07977404362625547
10,0.010299365300169878,0.07988120035992728
11,0.01028303099192189,0.07977142930030823
12,0.010263831639776424,0.07974791030089061
13,0.010249501520814268,0.07968673772282071
14,0.010233041498801606,0.0798154084218873
15,0.010212767472207682,0.0799678506122695
16,0.010192282920251358,0.07958989093701045
17,0.010191320714090957,0.07955708271927305
18,0.010191401470950942,0.07976905918783612
19,0.01018987780187676,0.07949322048160765
20,0.01018796876376989,0.07961749451027976
21,0.010182390677955956,0.07977189537551668
22,0.010188326340954321,0.0795901409453816
23,0.010185148558513919,0.07970154616567823
24,0.010182399429431579,0.07963490403360791
25,0.010182543473989785,0.07961651434501012
26,0.01017581668097416,0.0796900490919749
27,0.010178812709795374,0.07971530656019847
28,0.010175450487472032,0.07969619582096736
29,0.01017568529057665,0.07967672497034073
30,0.010174190933877378,0.07959156731764476
