step,crossentropy,val crossentropy,acc micro,val acc micro,allgood,val allgood
1,1.750963188353039,1.7265637318293254,0.32665467554209177,0.5505464099702381,0.0,0.0
2,1.7215883391244071,1.7121383945147197,0.5921806906356292,0.6453869047619049,9.300595238095237e-06,0.0
3,1.7099403114545912,1.7045645117759705,0.6817629029150722,0.7266427176339286,2.6739211309523813e-05,8.138020833333333e-05
4,1.7027913814499265,1.6998274326324463,0.7470901593059098,0.7660307384672619,0.0001662481398809524,0.0008219401041666667
5,1.698301028637659,1.6973790327707927,0.7765623339179423,0.7912327357700892,0.0013032459077380954,0.0012939453125
6,1.6954394522167386,1.696213960647583,0.7972547881457271,0.803645252046131,0.002662295386904762,0.0039794921875
7,1.6934792143957955,1.6961296796798706,0.810192414368091,0.8130336216517858,0.00438290550595238,0.005468749999999999
8,1.6922128257297335,1.6951927145322163,0.8225858727279975,0.8261619931175596,0.006103515625,0.006420898437499999
9,1.6911572586922419,1.6949876149495442,0.8333290567203442,0.8387166341145833,0.00907389322916667,0.010970052083333334
10,1.6903717659768605,1.6947315136591594,0.8468909853980657,0.8587783086867561,0.0164306640625,0.019222005208333334
11,1.689513081596011,1.6945765415827434,0.852157530492666,0.852200172061012,0.019763764880952387,0.018212890625
12,1.6889737134888059,1.6949743231137593,0.8535142963435371,0.8544189453125001,0.02196451822916667,0.02218424479166667
13,1.6886622905731201,1.6953221360842388,0.8569267013446004,0.8665126255580357,0.026983351934523808,0.03272298177083333
14,1.6883413848422824,1.695063332716624,0.8612374857169429,0.8744721912202381,0.031172107514880948,0.03344726562499999
15,1.6881276596160162,1.695357044537862,0.8673156738281252,0.8768089657738095,0.03675130208333332,0.037369791666666666
16,1.687844529038384,1.6953790187835693,0.8699534305909864,0.8771092006138392,0.04154924665178571,0.04175618489583333
17,1.687648628439222,1.6954177419344585,0.8738980040258291,0.8799705868675596,0.04492303757440476,0.03990885416666667
18,1.687457697732108,1.6954771478970845,0.8764868911431762,0.8867132277715774,0.04867117745535713,0.043050130208333336
19,1.687274421964373,1.6955444812774658,0.8810663962850763,0.8918390183221726,0.0542910621279762,0.04549967447916667
20,1.687098673411778,1.6959218780199687,0.8842933706685802,0.8986595517113095,0.056931268601190466,0.049967447916666664
21,1.6868105559121995,1.6963092883427937,0.8859759064758715,0.8892842610677084,0.059626116071428585,0.05020345052083334
