step,crossentropy,val crossentropy,acc micro,val acc micro,allgood,val allgood
1,1.722961229937417,1.705472509066264,0.4461810676419007,0.646734619140625,0.0,0.0
2,1.7017407388914199,1.6989526351292927,0.7049650231186224,0.7873116629464286,0.0,0.0
3,1.6954378826277596,1.6956007083257039,0.7735376059603528,0.8007559640066964,0.0,0.0
4,1.6923177071980067,1.6940709948539734,0.7905307069116709,0.808491443452381,1.1625744047619047e-05,0.00016276041666666666
5,1.6904745527676173,1.693354348341624,0.8059174621997236,0.8327380952380952,6.394159226190478e-05,0.00013020833333333336
6,1.6892478324118114,1.6931037108103435,0.8175841454745961,0.8395600818452381,0.0002964564732142857,0.0005859375
7,1.6884024228368486,1.6931251287460327,0.8290219261532739,0.8447117396763394,0.0011265345982142858,0.0012451171875
8,1.6877054827553886,1.6930713653564453,0.8418206247342688,0.8595101492745535,0.0031540643601190473,0.0029052734375
9,1.6871249136470614,1.6935617923736572,0.8540074770142434,0.8587559291294643,0.007657877604166666,0.0040934244791666664
10,1.6867492170560927,1.693535069624583,0.8648650500239159,0.8785917736235119,0.018687220982142854,0.026708984374999998
11,1.686087355727241,1.6938479940096538,0.868928206048044,0.8783246721540178,0.025742885044642855,0.0369873046875
12,1.6857738977386838,1.6941046118736267,0.8686564958014455,0.8740010579427083,0.027005440848214286,0.03092447916666666
13,1.685558250972203,1.693833847840627,0.8707790245004252,0.8828023274739584,0.03305547805059524,0.03741048177083333
14,1.685359883876074,1.693943460782369,0.8734253344892645,0.881483677455357,0.03747442336309525,0.027636718749999997
15,1.6851998709496998,1.6942245562871296,0.8770206788770196,0.8894801548549106,0.04642857142857141,0.08372395833333333
16,1.6850413878758748,1.6943851709365845,0.8803216428172833,0.8899800618489583,0.052487909226190475,0.07670084635416667
17,1.6849437270845686,1.6945059299468994,0.8826903466464715,0.8919378371465774,0.05319010416666666,0.08338216145833334
18,1.684828641868773,1.6948343515396118,0.8842380653433246,0.8955182756696428,0.0626674107142857,0.11172688802083335
19,1.6846924083573478,1.6947947144508362,0.8869296326929207,0.8938337053571428,0.07177501860119047,0.09724934895833333
20,1.6846235224178858,1.6951675415039062,0.8911753544191112,0.8999918619791667,0.0780354817708333,0.11712239583333334
21,1.68441295056116,1.6952873468399048,0.8912412474755526,0.8951756068638392,0.0843877883184524,0.10192871093750001
22,1.6842722523780096,1.6958798170089722,0.8917271620562292,0.8952194940476191,0.08983212425595237,0.09457194010416665
23,1.6841919337000166,1.6960914929707844,0.8914368921396681,0.8972098214285714,0.0846063523065476,0.08751627604166666
24,1.6841321360497248,1.6964582800865173,0.8930014681653912,0.8976754324776786,0.09012276785714286,0.10990397135416667
25,1.6841090889204116,1.696682055791219,0.8932986304873511,0.8980916341145831,0.09140159970238093,0.09735514322916666
26,1.684021302631923,1.6966017484664917,0.8935547290205145,0.8890860421316965,0.09013555617559525,0.06366373697916668
27,1.683974285920461,1.6970613400141399,0.8933619077513819,0.8892066592261906,0.08491908482142858,0.04278971354166667
28,1.6839427096503121,1.6970399816830952,0.8946497080277422,0.9001772925967262,0.09242117745535713,0.10308430989583334
29,1.6838618488538832,1.697129487991333,0.8946147892750853,0.8999691917782737,0.09091448102678573,0.10054524739583331
30,1.6838629245758057,1.697689672311147,0.8956767179528061,0.8925118582589285,0.09394182477678574,0.07783203125
