step,crossentropy,val crossentropy,acc micro,val acc micro
1,0.041165384913788364,0.28490497668584186,0.06036065549266582,0.03573056175595238
2,0.0405913971178656,0.2834394839074877,0.04153982149500426,0.04654511951264881
3,0.04041602822388111,0.2828613784578112,0.04615586468962583,0.04658755347842262
4,0.04031994033292308,0.282529655430052,0.04488301179846939,0.04742576962425596
5,0.040258718320842234,0.28234300679630703,0.04821677694515306,0.05029442196800595
6,0.04021897094320007,0.28231897950172424,0.04694164042570153,0.047742571149553575
7,0.04021271177970903,0.282319575548172,0.04620066532472363,0.0473234630766369
8,0.04020789346727384,0.28231367799970836,0.046219100433142,0.04754580543154762
9,0.040204068700742834,0.2823125653796726,0.046018473307291675,0.047076125372023804
10,0.04019981751095951,0.28233205609851414,0.04618185653167516,0.047374325706845244
11,0.04019576527364129,0.28232183390193516,0.04630359468005951,0.04758329845610119
12,0.040191636536937726,0.2823062373532189,0.046877906436011904,0.04811750139508928
13,0.04018791651779832,0.28228380613856846,0.0471183102147109,0.04897199358258928
14,0.04018404572999396,0.2822566330432892,0.047334050807823144,0.04919055757068452
15,0.040180854178339984,0.28228356771998936,0.04771736819727891,0.049771844773065475
16,0.04017747725759234,0.282289014922248,0.048074361580569734,0.04978753952752976
17,0.040176932909050764,0.2822726402017805,0.047961716424851183,0.04977911086309524
18,0.04017586549934076,0.28226486841837567,0.04795482401945153,0.04997936430431548
19,0.040176592108343734,0.28228515717718333,0.04800003985969387,0.04986107235863096
20,0.04017522201246145,0.28228338228331673,0.048062611274978746,0.04987705775669643
