step,crossentropy,val crossentropy,acc micro,val acc micro
1,0.20164352425642296,1.2760617600546944,0.11381105176445579,0.11570608956473212
2,0.17006991807025035,0.9675105412801107,0.14332603402689198,0.17196073986235116
3,0.1215978090454932,0.7463161018159655,0.2112577477279975,0.19680437360491074
4,0.09796846575207181,0.6569752362039354,0.18225786896789964,0.18442528134300593
5,0.0878034650333344,0.62678196032842,0.18553221825839708,0.1781072707403274
6,0.08303041063468743,0.6213442219628228,0.186102377962904,0.1799618675595238
7,0.08223572231474377,0.6167559292581346,0.186011655638818,0.18083234514508928
8,0.08155835161403734,0.6160394218232896,0.18601937845450678,0.18000953311011902
9,0.08085063133650626,0.6136056118541294,0.18618500378667088,0.17983456566220238
10,0.08013428325285446,0.6112170086966621,0.18579865539965987,0.1791995093936012
11,0.07952997014095453,0.6078361206584507,0.185582125916773,0.17899983723958335
12,0.07886396568108037,0.603951182630327,0.1855945405505952,0.17847784133184522
13,0.07821327839849217,0.5984919203652276,0.18495898603582056,0.17856474376860118
14,0.07761845945501003,0.5959855185614692,0.1847988414115647,0.17864641462053568
15,0.07697263826318339,0.5944699578815037,0.18455374581473216,0.17845110212053572
