step,loss,accuracy,val_loss,val_accuracy
1,0.8563522696495056,0.733076810836792,0.29087164998054504,0.9160652160644531
2,0.17894788086414337,0.9514167904853821,0.2166932225227356,0.9340702891349792
3,0.1100679561495781,0.9691222310066223,0.20402254164218903,0.9363659620285034
4,0.08526547253131866,0.9752835631370544,0.1939236968755722,0.9416179656982422
5,0.06783895194530487,0.9799533486366272,0.1994372010231018,0.9422024488449097
