step,crossentropy,val crossentropy
1,0.018675910270943934,0.09969063268767463
2,0.012925661238683325,0.08672734929455651
3,0.01157551233460303,0.08273374620411131
4,0.010966743961348285,0.08119256794452667
5,0.010618737934668318,0.0804295034872161
6,0.010404292063242724,0.07982817374997668
7,0.010366059907304456,0.07982962909671995
8,0.010342451923288185,0.07999690456522836
9,0.010316427636579051,0.07998275425699022
10,0.010300776585429704,0.07991061442428164
11,0.010278636619212135,0.07994907018211153
12,0.010259359044417774,0.08002225640747282
13,0.010241195694659573,0.07990587502717972
14,0.010219288436598788,0.07982628958092795
15,0.010202334547529415,0.0796721436911159
16,0.01018372039540825,0.07955366455846362
17,0.010180747563065855,0.0797102732790841
18,0.010182271620719071,0.07974825385544035
19,0.010178174426496165,0.07979326281282637
20,0.01017826273530519,0.0797159771124522
21,0.010174617509182348,0.07993144376410379
22,0.010178655538023735,0.07989770174026489
23,0.010172857432003194,0.07975392871432833
24,0.01017141141115673,0.07983020279142591
25,0.010174486304626983,0.07965075059069528
26,0.010170878094880759,0.0797750014397833
27,0.010168746215145606,0.0798649862408638
28,0.0101706687521502,0.07962260726425383
29,0.010164276829787664,0.07974105245537229
30,0.010159709454934343,0.0798280429508951
