step,crossentropy,val crossentropy,acc micro,val acc micro
1,0.19056900991063538,1.0373815960354276,0.048615166281356294,0.03855968656994047
2,0.1284518920375106,0.7607575787438287,0.12642668639721513,0.15655081612723215
3,0.10103101024822314,0.6699706647131177,0.15224970603475763,0.15542631603422621
4,0.0894052586317603,0.6257446540726556,0.15942860298416242,0.16164899553571427
5,0.0832115664503742,0.6002349522378709,0.16370666919111396,0.16216605050223212
6,0.07892910990855591,0.5980433026949564,0.16633134699192179,0.16205240885416666
7,0.07821641027792241,0.5960860980881585,0.16699978575414534,0.1623933337983631
8,0.07768199097812852,0.5955107079611884,0.16746394358524658,0.16259126209077382
9,0.07716445087575588,0.5954021612803141,0.1678077334449405,0.16346958705357142
10,0.07671543381381737,0.5932776464356316,0.16822343683567179,0.16384364536830356
11,0.07628000255614993,0.5920024381743537,0.16869934497236388,0.16404302687872022
12,0.07587619771222139,0.588840040895674,0.16918040165284864,0.16443684895833335
13,0.0754401343209403,0.5883499185244242,0.16975151632918797,0.16390933082217263
14,0.07500787089471103,0.5894185635778639,0.1700091096008716,0.16507423037574406
15,0.07464761352863442,0.5853739910655552,0.17049506570206208,0.1655805315290179
16,0.07427990652806635,0.5879741973347133,0.17083395614105015,0.16515125093005953
17,0.07427099989114705,0.5883099370532566,0.1707875362058886,0.1653506324404762
18,0.07421182261572944,0.5866449740197923,0.17092197963169642,0.16514020647321426
19,0.07414890835885288,0.5871289504898919,0.17096989430537837,0.1652250744047619
20,0.07411812397898461,0.5869273278448317,0.17103636864902208,0.16556018647693452
21,0.07415490085575856,0.5887604885631138,0.1709694791002338,0.16533028738839284
22,0.07408407945481559,0.5862797829839919,0.17103138618728736,0.1652006603422619
23,0.0740362699069674,0.5846869548161825,0.17107776460193452,0.16571015857514879
24,0.07402554553111934,0.5867404672834609,0.1711594769743835,0.1655587332589286
25,0.07393949385943596,0.587310724788242,0.17117060447225768,0.16520036969866073
26,0.07389213438747692,0.5852681861983405,0.17119339923469384,0.1656953357514881
27,0.07391540668989255,0.5869155195024278,0.171310196441858,0.16530064174107142
28,0.07384804830529522,0.5894070996178521,0.17132614031940896,0.16556832449776784
29,0.07384169344999353,0.5878689752684699,0.1713366034890519,0.16537068684895834
30,0.07381060969532212,0.5853596395916408,0.17134519823554423,0.1654878162202381
