step,crossentropy,val crossentropy,acc micro,val acc micro
1,8.499248822530111,7.534003973007202,0.0765353455835459,0.1149140857514881
2,6.8263118380591985,5.411846558252971,0.09513562260841839,0.18845796130952383
3,5.054394960403442,4.426534811655681,0.1984455965003189,0.19117228190104166
4,4.2080414692560835,3.966273069381714,0.1886244585724915,0.18150373186383928
5,3.763024375552223,3.710846503575643,0.18704348194355863,0.1899024600074405
6,3.5388030211130777,3.674937685330709,0.19295712425595235,0.19184134347098214
7,3.4978273879914057,3.6445830265680947,0.194240647919324,0.19286673409598212
8,3.464672082946414,3.6202909549077353,0.1949090451610332,0.1930821010044643
9,3.432564411844526,3.6114845673243203,0.19493076039009352,0.19359799339657738
10,3.4042684804825556,3.5732945601145425,0.19569614955357148,0.19266880580357146
11,3.3781218926111856,3.559314807256063,0.19571678524925598,0.19377673921130953
12,3.355414702778771,3.543829361597697,0.19491203463807394,0.19391973586309522
13,3.3274566446031844,3.558400829633077,0.1946074816645408,0.19243629092261905
14,3.307273859069461,3.5258943239847818,0.19418584084024235,0.1909577869233631
15,3.2853097234453474,3.520596742630005,0.19392480136585882,0.18900001162574406
16,3.2658186242693947,3.5188458363215127,0.1941992519664116,0.1884919666108631
17,3.2632147073745728,3.516356587409973,0.19429757254464286,0.1884097144717262
18,3.259232447260902,3.5099005699157715,0.19416458233684097,0.188232421875
19,3.258561054865519,3.5010458628336587,0.19436649659863944,0.1880063011532738
20,3.255640569187346,3.515313227971395,0.19433888545652633,0.18808099655877974
21,3.253615975379944,3.4958406686782837,0.19423724323713862,0.18815743582589284
22,3.25543821425665,3.5028664668401084,0.19423018474968115,0.1878909156436012
23,3.2507602657590593,3.5015577475229898,0.19433012462797622,0.1874427432105655
24,3.2479902732939947,3.5063252051671348,0.19424662687340563,0.1873604910714286
25,3.2468427135830833,3.5024147431055703,0.19434756324404762,0.18758835565476187
26,3.24557025659652,3.5014150937398276,0.1943261801791029,0.18720790318080358
27,3.2406585216522217,3.4953811963399253,0.19435200593909438,0.18706054687499998
28,3.242568572362264,3.4985405604044595,0.19433024918951952,0.18672979445684523
29,3.239226460456848,3.4936540524164834,0.1942673040896046,0.18717011951264884
30,3.2358056760969616,3.499553918838501,0.19451372834289965,0.18664783296130952
