step,crossentropy,val crossentropy
1,0.042639619428284314,0.158667049407959
2,0.01600346550649526,0.08048394918441773
3,0.00889730828148978,0.06011680603027344
4,0.006435544685441621,0.05225725650787354
5,0.005257629825144398,0.04928366601467132
6,0.004642752372488683,0.048493872284889224
7,0.004563614726066589,0.0484793621301651
8,0.0044925729717527115,0.048415419459342954
9,0.004438150293973027,0.048252922296524045
10,0.0043757267995756495,0.048125827908515925
11,0.004315513384585478,0.048089831471443176
12,0.004261254266816742,0.04789944112300873
13,0.004206789938770995,0.047861695885658265
14,0.004153206372747616,0.04772577524185181
15,0.004101629232873722,0.04751972436904907
16,0.0040401520291153264,0.047489647269248966
17,0.004042971413962695,0.04759942531585694
18,0.004037621659891946,0.04713410675525666
19,0.0040382543510320236,0.04774038314819336
20,0.00402290403842926,0.04738828837871552
21,0.004019332151023709,0.04745548188686371
22,0.004009755071328611,0.047501724362373356
23,0.004012265953482414,0.04735331356525421
24,0.004004709075908271,0.047481482625007634
25,0.00400294081288941,0.04724945902824402
26,0.003993417237486158,0.04763862431049347
27,0.003987616020805981,0.04741084694862366
28,0.003986332976088232,0.04761432707309723
29,0.003976601787975856,0.047375317811965946
30,0.0039732084347277275,0.047306823134422304
