step,crossentropy,val crossentropy
1,1.9996560505458287,1.4745148181915284
2,1.216032372202192,0.9627213835716247
3,0.7610567467553275,0.5880238533020019
4,0.4652753838471004,0.43063233494758607
5,0.3349732518196106,0.3610504329204559
6,0.27524047238486155,0.35331825017929075
7,0.2642094373703003,0.3458427369594574
8,0.25604416855743956,0.33773393630981446
9,0.24824891601290022,0.3329288959503174
10,0.24112473045076643,0.3302991330623627
11,0.2334158480167389,0.32729278802871703
12,0.22716180554458074,0.3192520558834076
13,0.22091967037745885,0.3134959816932678
14,0.21498118809291294,0.3138787806034088
15,0.2093822079045432,0.31105377078056334
16,0.20479255403791155,0.30803967714309693
17,0.20395413424287523,0.3052727282047272
18,0.203571218252182,0.3065775394439697
19,0.20287683393274034,0.3055951356887817
20,0.20233473224299295,0.3063690483570099
21,0.201738018648965,0.3055639684200287
22,0.20124317024435315,0.3061263978481293
23,0.20097564969744,0.3050905168056488
24,0.20033712557383945,0.30454211235046386
25,0.1996655468429838,0.3047688126564026
26,0.19919664348874774,0.3047576606273651
27,0.19879306852817535,0.30472964644432066
28,0.19821805145059312,0.30240349769592284
29,0.19760560521057674,0.3054367363452911
30,0.19733404219150544,0.3021556794643402
