step,crossentropy,val crossentropy
1,1.544882847581591,0.8594149589538574
2,0.5872088508946555,0.4294520139694214
3,0.3180615178176335,0.308857786655426
4,0.22722376499857222,0.26865955591201784
5,0.18396458114896502,0.2475565105676651
6,0.1619107561452048,0.246640083193779
7,0.15881492495536803,0.24773547649383545
8,0.15647982231208257,0.24601433277130128
9,0.15417609427656445,0.24491767287254335
10,0.15207134825842722,0.2452727347612381
11,0.1501813667161124,0.24386370480060576
12,0.14826324454375675,0.243403360247612
13,0.14613725798470634,0.24102765917778016
14,0.1441449740103313,0.24381219148635863
15,0.14243614162717547,0.24067618548870087
16,0.14065349740641458,0.2415875017642975
17,0.14038319715431757,0.24056267142295837
18,0.14016960561275482,0.2399247944355011
19,0.1399658990757806,0.2406242549419403
20,0.1398507799421038,0.24089697897434234
21,0.1396449531827654,0.23869864344596864
22,0.13933094569614957,0.23990702331066133
23,0.13923693001270293,0.23965144157409668
24,0.13904583879879542,0.23954442739486695
25,0.13875574341842106,0.24086131453514098
26,0.1387188264301845,0.24037792384624482
27,0.13857009346996035,0.24106309711933135
28,0.1383413233927318,0.24068767428398133
29,0.13800809383392335,0.23915617763996125
30,0.13778169602155685,0.24127455055713654
