step,crossentropy,val crossentropy
1,0.04116283738964539,0.2849864761034648
2,0.04059795977847647,0.28349559174643624
3,0.04042684180395944,0.2828930616378784
4,0.04032907417031372,0.28255222903357613
5,0.040265009178866606,0.2823440200752682
6,0.040225888731257986,0.28228193852636546
7,0.04021788008359014,0.2822841803232829
8,0.04021347136724563,0.28230176700486076
9,0.040209778582428045,0.2822597490416633
10,0.04020524545321389,0.2822493082947201
11,0.04020113888240996,0.28225767281320363
12,0.04019723038554462,0.282241768307156
13,0.04019433847900961,0.2822418345345391
14,0.04018964376849653,0.28222691681649953
15,0.040186324695340635,0.28227531909942627
16,0.040183075431252824,0.28223776155047947
17,0.04018263907389306,0.28224900364875793
18,0.040182025186599246,0.2822287579377492
19,0.040181583422922496,0.28224601679378086
20,0.040181233161160734,0.28222715523507863
21,0.04018084647433828,0.2822488149007161
22,0.04018083491833572,0.28222236368391246
23,0.04017961369890745,0.2822333739863502
24,0.040179841913063244,0.28221332364612156
25,0.040178423498222884,0.282223512729009
26,0.04017849283423824,0.282231072584788
27,0.040178369570210946,0.28226230873001945
28,0.04017795118885516,0.28227199448479545
29,0.04017754084939589,0.28225483496983844
30,0.04017645053041765,0.28221912185351056
