step,crossentropy,val crossentropy,acc micro,val acc micro,acc macro,val acc macro
1,1.5305856551442827,0.7704035937786102,0.5214971664938188,0.7676839232444763,0.24420354408877237,0.4890988618135452
2,0.5657522912536349,0.39060558875401813,0.8257033555280595,0.885571281115214,0.586480934705053,0.6789963245391846
3,0.3219206801482609,0.2818516145149867,0.9029041145529065,0.9170735677083334,0.7197017215547108,0.7413617571194967
4,0.22115837995495116,0.2373710796236992,0.9341389990988231,0.9306315084298452,0.7829109118098304,0.7882892588774363
5,0.16825052634591148,0.21549501518408457,0.9500290637924558,0.9370605448881785,0.8192449382373265,0.7973662714163462
6,0.13805423570530756,0.21283559004465738,0.9594249881449199,0.9385579327742258,0.8410962110473996,0.8089140256245931
7,0.13222099680985724,0.2129164139429728,0.9611153716132754,0.9387125670909882,0.8466576777753376,0.8111783067385355
8,0.12844044786124004,0.21263099213441214,0.9623163101218996,0.9390950500965118,0.8500564637638274,0.8124866187572479
9,0.1251852460915134,0.2094985917210579,0.9630266442185357,0.9393798808256785,0.8517076983338311,0.8143889904022217
10,0.12223211995192937,0.20644082625706991,0.963938105674017,0.9403076271216074,0.8547886837096441,0.8172613282998403
11,0.11943617019624937,0.2110563963651657,0.9647228419780731,0.9394368529319763,0.8573128950028193,0.8170105814933777
12,0.1163495292975789,0.20682402948538461,0.965852860893522,0.9408203065395355,0.8601615130901337,0.8193968832492828
13,0.11367134341881388,0.2072117750843366,0.9664748396192279,0.940649410088857,0.8624394081887745,0.8242609997590383
14,0.11143494610275541,0.20474999894698462,0.9671107686701275,0.941577156384786,0.8658751604102907,0.8195449809233347
15,0.10882196628621646,0.2066260129213333,0.967793196439743,0.941186527411143,0.8679995735486349,0.8218554655710856
16,0.10598381218456086,0.20359286417563757,0.9686546652089982,0.9414632121721903,0.8680255157606942,0.8206157088279724
17,0.10557299604018529,0.20370124032100043,0.968794176975886,0.9414876302083334,0.8694219064144861,0.8211405674616495
18,0.1052980428295476,0.20401084423065186,0.9689790251709166,0.9417643149693807,0.8699123944555011,0.8198677003383636
19,0.10484500938937777,0.20454067985216776,0.9691069097745986,0.9415446023146311,0.8703712068852925,0.8221206565697988
20,0.10478803479955309,0.20415531595547995,0.9691650370756785,0.9419270753860474,0.8702811840034667,0.8224293490250906
21,0.10457666395675569,0.20365687956412634,0.9691406247161684,0.9415852824846903,0.8720588258334568,0.8223252097765604
22,0.10413138053956486,0.20383998503287634,0.9690848205770765,0.9418863952159882,0.873537750471206,0.8242654403050741
23,0.10384250804781914,0.2033860186735789,0.9695033459436326,0.9419433573881785,0.8723216496762776,0.8222975333531698
24,0.10352976620197296,0.2049404283364614,0.9693882522128877,0.9415446023146311,0.87305387144997,0.8243134319782257
25,0.10340260040192377,0.20376114547252655,0.969452196643466,0.9420491556326548,0.8724367036705926,0.8250582913557688
26,0.10301769347417922,0.20276863127946854,0.9695056747822535,0.9421305259068807,0.8732742170492808,0.8238781988620758
27,0.10310203759443193,0.2025966743628184,0.9694870710372925,0.9423014322916666,0.871861016466504,0.8222604990005493
28,0.10260194007839475,0.20324039459228516,0.969634717419034,0.9420735736687978,0.8748909220809028,0.8217711945374807
29,0.1019582562148571,0.2040618658065796,0.9698788623015085,0.9419514934221903,0.8724625947929564,0.8248882591724396
30,0.10214281224069141,0.2024834156036377,0.9698114324183691,0.9422688682874044,0.8731830645175207,0.825875441233317
